"study_id","doi","pmid","study_type","is_protocol","reason","title","manual_download_status"
"clark2021","10.1016/j.jpsychores.2021.110484","33895431","RCT",FALSE,"elsevier_paywall","Guided graded exercise self-help for chronic fatigue syndrome: Long term follow up and cost-effectiveness following the GETSET trial.","pending"
"cooper2025","10.1016/j.jbmt.2025.05.048","40954597","systematic_review",FALSE,"elsevier_paywall","Evaluating pacing therapy (PT) versus graded exercise therapy (GET) for improving fatigue, pain, and quality of life in adults with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS): A systematic review.","pending"
"dehlia2024","10.1016/j.jinf.2024.106297","39353473","meta-analysis",FALSE,"elsevier_paywall","The persistence of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) after SARS-CoV-2 infection: A systematic review and meta-analysis.","pending"
"del2025","10.1016/j.rehab.2024.101920","39798250","RCT",FALSE,"elsevier_paywall","Effect of respiratory rehabilitation on quality of life in individuals with post-COVID-19 symptoms: A randomised controlled trial.","pending"
"dirajlal-fargo2024","10.1016/j.mito.2024.101849","38341012","cross-sectional",FALSE,"elsevier_paywall","Altered mitochondrial respiration in peripheral blood mononuclear cells of post-acute sequelae of SARS-CoV-2 infection.","pending"
"koller2025","10.1016/j.jpsychores.2025.112152","40446594","cohort",FALSE,"elsevier_paywall","Coping competence and health outcomes in post-COVID: A prospective study on the role of adaptive strategies in symptom management and physical and mental health.","pending"
"kuut2026","10.1016/j.jpsychores.2025.112467","41317667","RCT",FALSE,"elsevier_paywall","Which cognitive-behavioural factors play a role in the reduction of post-COVID-19 fatigue following cognitive behavioural therapy and care as usual? A secondary analysis of the ReCOVer study.","pending"
"lappalainen2024","10.1016/j.jpsychores.2024.111830","38878337","RCT",FALSE,"elsevier_paywall","Online acceptance and commitment therapy (iACT) for adults with persistent physical symptoms - 3-month follow-up study of a randomized controlled trial.","pending"
"milligan2026","10.1016/j.jad.2026.121377","41687973","meta-analysis",FALSE,"elsevier_paywall","Mental health risk factors for psychological disorders after COVID-19 infection: A systematic review and meta-analysis.","pending"
"mohamed2023","10.1016/j.smrv.2023.101771","36948138","meta-analysis",FALSE,"elsevier_paywall","Objective sleep measures in chronic fatigue syndrome patients: A systematic review and meta-analysis.","pending"
"montes-ibarra2024","10.1016/j.ymeth.2024.10.004","39389403","RCT",TRUE,"elsevier_paywall","Protocol for a pilot study: Feasibility of a web-based platform to improve nutrition, mindfulness, and physical function in people living with Post COVID-19 condition (BLEND).","pending"
"ngiam2026","10.1016/j.ijid.2026.108435","41592666","cohort",FALSE,"elsevier_paywall","Early administration of neutralizing monoclonal antibodies and post-acute sequelae of COVID-19.","pending"
"salzmann2024","10.1016/j.jpsychores.2024.111902","39197231","cohort",FALSE,"elsevier_paywall","Side-effect expectations are associated with disability, physical fitness, and somatic symptoms 3 months after post-COVID neurological inpatient rehabilitation.","pending"
"sawano2025","10.1016/s1473-3099(25)00073-8","40188838","RCT",FALSE,"elsevier_paywall","Nirmatrelvir-ritonavir versus placebo-ritonavir in individuals with long COVID in the USA (PAX LC): a double-blind, randomised, placebo-controlled, phase 2, decentralised trial.","pending"
"sjogren2024","10.1016/j.clinthera.2024.05.010","38910072","cohort",FALSE,"elsevier_paywall","Successful Subcutaneous Immunoglobulin Therapy in a Case Series of Patients With Myalgic Encephalomyelitis/Chronic Fatigue Syndrome.","pending"
"smadja2026","10.1016/j.pharma.2026.02.008","41722813","cohort",FALSE,"elsevier_paywall","Soluble ST2 fails to reflect persistent endothelial dysfunction or symptoms in post-acute sequelae of COVID-19.","pending"
"tamariz2024","10.1016/j.clinthera.2023.12.009","38267326","cohort",FALSE,"elsevier_paywall","Low-dose Naltrexone Improves post-COVID-19 condition Symptoms.","pending"
"van2024","10.1016/j.jpsychores.2024.111954","39423465","cohort",FALSE,"elsevier_paywall","Predictors of treatment response trajectories to cognitive behavioral therapy for chronic fatigue syndrome: A cohort study.","pending"
"williams2024","10.1016/j.humimm.2024.110770","38433036","cross-sectional",FALSE,"elsevier_paywall","Investigating viral and autoimmune T cell responses associated with post-acute sequelae of COVID-19.","pending"
"zha2024","10.1016/j.rmed.2024.107763","39127085","RCT",FALSE,"elsevier_paywall","Short-term intermittent hypoxia exposure for dyspnea and fatigue in post-acute sequelae of COVID-19: A randomized controlled study.","pending"
"esposito2026",NA,NA,"cohort",FALSE,"no_doi","Phenotyping Pediatric Long COVID: Symptom Clusters from a Longitudinal Multicenter Italian Cohort","pending"
"hampilosNA",NA,NA,"case-control",FALSE,"no_doi","474 Exploring the Genetic Contribution to Oxidative Stress in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome","pending"
"leveret2022",NA,NA,"cohort",TRUE,"no_doi","Why Should ACT Work When CBT Has Failed? a Study Assessing Acceptability and Feasibility of Acceptance and Commitment Therapy (ACT) for Paediatric Patients With Chronic Fatigue Syndrome/myalgic Encephalomyelitis (CFS/ME)","pending"
"munguía2026",NA,NA,"RCT",FALSE,"no_doi","Effects of Cacao Flavonoids in Long COVID-19 Patients with Chronic Fatigue: FLALOC, a Placebo-Controlled Randomized Clinical Trial","pending"
"NA2022",NA,NA,"cohort",FALSE,"no_doi","Ai Chi for Long COVID: Transitioning to a Post-Rehabilitation Community Program","pending"
"NA2025",NA,NA,"RCT",FALSE,"no_doi","Addressing Complex Symptom Burden in Aging and Long COVID Through a Remote Yoga and Self-Management","pending"
"nantakool2024",NA,NA,"meta-analysis",FALSE,"no_doi","Effects of Exercise Rehabilitation on Cardiorespiratory Fitness in Long-COVID-19 Survivors: A Meta-Analysis","pending"
"yousif2023",NA,NA,"cross-sectional",FALSE,"no_doi","Unraveling Post-COVID-19 Immune Dysregulation Using Machine Learning-based Immunophenotyping","pending"
"barlattani2025","10.2174/011570159x343115241030094848","39506442","narrative_review",FALSE,"other_publisher","Neuropsychiatric Manifestations of COVID-19 Disease and Post COVID Syndrome: The Role of N-acetylcysteine and Acetyl-L-carnitine.","pending"
"bassi2025","10.1001/jamainternmed.2025.5408","41114999","RCT",FALSE,"other_publisher","Effectiveness of Colchicine for the Treatment of Long COVID: A Randomized Clinical Trial.","pending"
"busatto2022","10.1017/s0033291722001374","35521752","cohort",FALSE,"other_publisher","Post-acute sequelae of SARS-CoV-2 infection: relationship of central nervous system manifestations with physical disability and systemic inflammation.","pending"
"frank2025","10.1055/a-2535-0607","40179895","other",FALSE,"other_publisher","[Psychosocial aspects of Long COVID - A psychotherapeutic treatment manual from the PsyLoCo project].","pending"
"heugno2026","10.1186/s12879-026-12942-2","41782085","systematic_review",FALSE,"other_publisher","Factors associated with long COVID in sub-Saharan Africa: a scoping review.","pending"
"murano2025","10.7416/ai.2025.2678","40110757","RCT",FALSE,"other_publisher","The impact of Mindfulness-based stress reduction on Covid-19 survivors. A randomized controlled trial.","pending"
"todhunter-brown2025","10.3310/btbd8846","40162526","systematic_review",FALSE,"other_publisher","Recent research in myalgic encephalomyelitis/chronic fatigue syndrome: an evidence map.","pending"
"victoria2024","10.1038/s41386-024-01995-z","39358543","RCT",FALSE,"other_publisher","A digital intervention for cognitive deficits following COVID-19: a randomized clinical trial.","pending"
"yeap2026","10.1093/chemse/bjag001","41555643","RCT",FALSE,"other_publisher","The APOLLO trial: a proof-of-concept study for vitamin A nasal drops in COVID-19-related postinfectious olfactory dysfunction.","pending"
"garcia2024","10.21203/rs.3.rs-4914245/v1",NA,"RCT",FALSE,"preprint_server","Increased physical performance and reduced fatigue after personalised physiotherapy and nutritional counselling in long COVID","pending"
"leis2023","10.22541/au.167896811.19455968/v1",NA,"cohort",FALSE,"preprint_server","Half of adults hospitalized with COVID-19 are still impacted one year later","pending"
"motta2023","10.2139/ssrn.4611493",NA,"cohort",FALSE,"preprint_server","A Data-Driven Identification of People Recovering from Post-Acute Sequelae of SARS-CoV-2 Infection (PASC)","pending"
"oesch-régeni2025","10.20944/preprints202504.0228.v1",NA,"cohort",FALSE,"preprint_server","Effect on Quality of Life of Therapeutic Plasmapheresis in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Patients with Elevated Ꞵ-Adrenergic and M3-Muscarinic Receptor Antibodies – a Pilot Study","pending"
"semmler2023","10.20944/preprints202309.0113.v1",NA,"cohort",FALSE,"preprint_server","Chronic Fatigue and Dis-Autonomy following COVID-19 Vaccination is Distinguished from Normal Vaccination Response by Altered Blood Markers","pending"
"sokol2023","10.2139/ssrn.4470940",NA,"cohort",FALSE,"preprint_server","Long Covid Coping and Recovery (Lccr): Developing a Novel Recovery-Oriented Treatment for Veterans with Long Covid","pending"
"dornas2026","10.1007/s10787-025-02033-0","41272382","meta-analysis",FALSE,"springer_paywall","Persistent inflammatory cytokine signature in long Covid-19 patients: a meta-analysis.","pending"
"goto2026","10.1007/s43440-025-00808-4","41569403","RCT",FALSE,"springer_paywall","A preliminary proof-of-concept trial on the effects of ketamine on fatigue: a randomized crossover trial.","pending"
"michael2025","10.1007/s11136-025-04122-7","41432873","cross-sectional",FALSE,"springer_paywall","How do fatigue, cognitive dysfunction, activity and role functioning, and mental health inter-relate in adults with post-COVID-19 syndrome? A structural equation model analysis.","pending"
"ceban2022","10.1080/23744235.2022.2043560","35282780","systematic_review",FALSE,"taylor_francis_sage","Registered clinical trials investigating treatment of long COVID: a scoping review and recommendations for research.","pending"
"coles2026","10.1177/00333549251378104","41208091","cohort",FALSE,"taylor_francis_sage","Prevalence of Post-COVID-19 Condition and the Potential of Tribal Public Health Capacity.","pending"
"cucunawangsih2026","10.1080/14787210.2026.2636175","41717886","meta-analysis",FALSE,"taylor_francis_sage","Impact of nirmatrelvir/ritonavir on the risk of long COVID in outpatients: a systematic review and meta-analysis.","pending"
"lam2025","10.1177/01410768251352666","40626567","cohort",FALSE,"taylor_francis_sage","The short-, medium- and long-term risk and the multi-organ involvement of clinical sequelae after COVID-19 infection: a multinational network cohort study.","pending"
"may2024","10.1080/21641846.2024.2306801","38736736","RCT",FALSE,"taylor_francis_sage","Videoconference-delivered group Cognitive Behavioral Stress Management for ME/CFS patients who present with severe PEM: A randomized controlled trial.","pending"
"penson2026","10.1080/13548506.2025.2606183","41504224","meta-analysis",FALSE,"taylor_francis_sage","Evaluating working memory functioning in individuals with myalgic encephalomyelitis/chronic fatigue syndrome: a systematic review and meta-analysis.","pending"
"smakowski2022","10.1080/09638288.2021.1949049","34498994","cohort",FALSE,"taylor_francis_sage","Graded exercise therapy for patients with chronic fatigue syndrome in secondary care - a benchmarking study.","pending"
"teopiz2024","10.1080/03007995.2024.2360647","38860901","cross-sectional",FALSE,"taylor_francis_sage","Association between fatigue and depressive symptoms in persons with post-COVID-19 condition: a post hoc analysis.","pending"
"tuzzolino2026","10.1177/13591053261420598","41761780","cross-sectional",FALSE,"taylor_francis_sage","Identifying post-exertional malaise subtypes: Differentiating physical and mental PEM manifestations.","pending"
"chee2023","10.1002/jmv.28289","36349400","systematic_review",FALSE,"wiley_paywall","Clinical trials on the pharmacological treatment of long COVID: A systematic review.","pending"
"choudhury2025","10.1002/ana.27128","39575583","cohort",FALSE,"wiley_paywall","Neurologic Manifestations of Long COVID Disproportionately Affect Young and Middle-Age Adults.","pending"
"clark2024","10.1111/jgs.18678","37950496","cohort",FALSE,"wiley_paywall","Post-acute sequelae of SARS-CoV-2 (PASC) in nursing home residents: A retrospective cohort study.","pending"
"hendrix2025","10.1111/eci.14318","39319943","meta-analysis",FALSE,"wiley_paywall","Adrenergic dysfunction in patients with myalgic encephalomyelitis/chronic fatigue syndrome and fibromyalgia: A systematic review and meta-analysis.","pending"
"hung2025","10.1002/jmv.70494","40667844","cohort",FALSE,"wiley_paywall","Association of Nirmatrelvir/Ritonavir and the Risk of Long COVID Among US Adults: A Multicenter Retrospective Cohort Study.","pending"
"larun2019","10.1002/14651858.cd003200.pub8","31577366","systematic_review",FALSE,"wiley_paywall","Exercise therapy for chronic fatigue syndrome.","pending"
"palomo2026","10.1002/jmv.70769","41451845","cohort",FALSE,"wiley_paywall","Chronic Reactivation of Persistent Human Herpesviruses EBV, HHV-6 and VZV and Heightened Anti-dUTPase IgG Antibodies Are a Recurrent Hallmark in Post-Infectious ME/CFS and is Associated With Fatigue.","pending"
